channel,train_mean,validation_mean,validation_z_shift_vs_train,test_mean,test_z_shift_vs_train,train_anomaly_rate,validation_anomaly_rate,test_anomaly_rate
channel_20,0.31515843,0.28310478,-0.79165435,0.28457522,-0.7553376,0.014000178005213786,0.020880786303107166,0.02165375925570117
channel_21,0.26017484,0.2517848,-0.13464764,0.39479464,2.1604474,0.040909810465211874,0.09924984147114775,0.1797398987064688
channel_22,0.3199056,0.31127048,-0.16652675,0.42598835,2.0457835,0.07709759101875373,0.09940963855421686,0.19230869225828012
channel_23,0.1127819,0.11699142,0.083854266,0.21635829,2.0632544,0.05283303450651451,0.08688332276474318,0.1613004684207556
channel_24,0.7543831,0.7451642,-0.12902176,0.7891292,0.4862856,0.03396108479910209,0.046024730500951176,0.09990418522245706
channel_25,0.25176084,0.2315954,-0.5115433,0.23594627,-0.40117332,0.013963761671401016,0.020811033608116678,0.021695610846156725
channel_26,0.3561747,0.33556297,-0.5339278,0.34032747,-0.41050795,0.013793094077114305,0.020834495878249842,0.02178945986717827
channel_27,0.22893533,0.20228799,-0.62757164,0.20667335,-0.5242919,0.014421004071699413,0.0208287888395688,0.021551666739589893
channel_28,0.16676365,0.14660586,-0.4514802,0.15277438,-0.31332207,0.012902796244497635,0.020837666455294862,0.02161888293032154
channel_29,0.27385792,0.26413804,-0.16849846,0.40072593,2.1993139,0.03414289470448077,0.09726062143310082,0.1782243638399722
channel_30,0.13530084,0.13152486,-0.068910375,0.2508987,2.1096199,0.05349382790700519,0.09069118579581484,0.15958391909707095
channel_31,0.3182596,0.3101885,-0.15545346,0.42460603,2.0482872,0.07822418737562566,0.07780786303107165,0.19041776130769733
channel_32,0.76951665,0.7600721,-0.13205573,0.8038356,0.47985536,0.03469063441194075,0.04601585288522511,0.09990228287743635
channel_33,0.8030537,0.79340917,-0.13437653,0.8369282,0.47197214,0.03477759879119513,0.04680532656943564,0.09990355110745015
channel_34,0.14605463,0.12848271,-0.44436938,0.13349034,-0.31773347,0.01342132135580185,0.02079581483830057,0.02168292854601868
channel_35,0.18763183,0.170461,-0.4376925,0.17504539,-0.32083434,0.013317643509909523,0.020793912492073557,0.023609369936987992
channel_36,0.23307705,0.2052682,-0.61571044,0.20926374,-0.527246,0.013273889556597165,0.020870640456563096,0.02201647303964931
channel_37,0.27215505,0.24269669,-0.6964813,0.2461933,-0.6138111,0.013090313187264882,0.020815472415979707,0.021968914414131634
channel_38,0.13487092,0.1312785,-0.065486774,0.250029,2.0992362,0.05370947239118752,0.09392200380469246,0.15879000710842922
channel_39,0.3217905,0.31811467,-0.06941184,0.42946076,2.0331776,0.07811303602839115,0.097285986049461,0.1904095178126076
channel_40,0.8067251,0.7971699,-0.1329858,0.8407671,0.47378615,0.03382017532834149,0.04760494610019023,0.09990291699244325
channel_41,0.8103629,0.8058099,-0.4817087,0.808747,-0.17096226,0.01271949163885052,0.02182435003170577,0.04079769131408287
channel_42,0.784172,0.7802316,-0.3714707,0.7828724,-0.12251806,0.012680493550028636,0.02185542168674699,0.04092958723551856
channel_43,0.7710669,0.76522464,-0.48623312,0.76834226,-0.2267636,0.012681172959241562,0.021817374762206722,0.04080213011913118
channel_44,0.7962179,0.7920807,-0.25873113,0.7951986,-0.06374438,0.012683890596093261,0.02181864299302473,0.04070764698310274
channel_45,0.81256086,0.80789506,-0.46531066,0.8108604,-0.16958377,0.012673020048686465,0.021876347495244135,0.04079959365910358
channel_46,0.7677924,0.76289624,-0.46094403,0.7660799,-0.16122155,0.012632799023281316,0.021845909955611923,0.040835738214497014
channel_47,0.0018384819,0.0017682709,-0.010872549,0.0017962247,-0.006543742,0.0461439790415846,0.03655802155992391,0.08666513210834996
channel_48,0.0018955447,0.0018247695,-0.010960543,0.0018526012,-0.006650416,0.04644196792237342,0.03647368421052632,0.08664293808310838
channel_49,0.0018491717,0.0017783339,-0.010969726,0.001806269,-0.0066437754,0.046558690425153905,0.027767279644895372,0.08663849927806007
channel_50,0.7556944,0.74377,-0.70484513,0.755531,-0.009657102,0.04062418683209828,0.028122384273937855,0.08611091559231732
channel_51,0.7796636,0.7675074,-0.72735703,0.77920556,-0.027407667,0.0398459915196142,0.032168040583386175,0.08623203155863567
channel_52,0.76018375,0.74801075,-0.71761143,0.7597335,-0.026542932,0.0364079091385295,0.032509194673430566,0.08605638170172371
channel_53,0.8348485,0.82689476,-0.052307785,0.82080436,-0.09236121,0.0,0.0,0.0
channel_54,0.77143574,0.77167594,0.0029760413,0.68476826,-1.0737668,0.0,0.0,0.0
channel_55,0.53108805,0.53000015,-0.009500451,0.52786654,-0.02813283,0.0,0.0,0.0
channel_56,0.8417974,0.8297846,-0.12423848,0.67085576,-1.7679027,0.0,0.0,0.0
channel_57,0.78036046,0.77475333,-0.23271175,0.840165,2.482059,0.025833448266725186,0.037771084337349395,0.05097904186490687
channel_58,0.7128897,0.70718616,-0.24643455,0.78735536,3.217479,0.026703907350324452,0.03773747622067216,0.051093182566149295
channel_59,0.88194585,0.8764152,-0.21808782,0.94298923,2.407096,0.027098644103033767,0.03753582752060875,0.05078690501781546
channel_60,0.7112151,0.70536333,-0.25647715,0.78408456,3.1938086,0.02664901108592013,0.03668991756499683,0.05082812249326411
channel_61,0.49292007,0.61335766,0.35140088,0.65398717,0.46994564,0.0007284625580979803,0.0,0.04858906240389194
channel_62,0.50430673,0.72114825,0.64721274,0.3995209,-0.3127571,0.0007284625580979803,0.0,0.04858906240389194
channel_63,0.50675297,0.600535,0.64580405,0.46144244,-0.3120185,0.0007284625580979803,0.0,0.04858906240389194
channel_64,0.9670106,0.9670724,0.007873247,0.96707433,0.0081162015,7.58220681624087e-05,7.736207989854154e-05,0.0
channel_65,0.96795017,0.96801335,0.008040031,0.9680152,0.008275164,7.58220681624087e-05,7.989854153455929e-05,0.0
channel_66,0.99277014,0.9924902,-0.034617007,0.99282765,0.007112074,0.01067623637190045,0.0297431832593532,0.0
channel_67,0.99618113,0.99637926,0.02449524,0.9963725,0.02366252,0.0,0.0,0.0
channel_68,0.7093543,0.70946646,0.01947809,0.70947546,0.02104089,0.0,0.0,0.0
channel_69,0.21195152,0.21195105,-0.00027709664,0.21194611,-0.003143315,0.0,0.0,0.0
channel_70,0.77984905,0.7798101,-0.0032731984,0.77984494,-0.00034533744,0.015077313371384779,0.019753329105897274,0.0
channel_71,0.813057,0.81304765,-0.0007547922,0.81302917,-0.0022451463,0.015066986351348321,0.019859226379201015,0.0
channel_72,0.8238937,0.82401294,0.009306503,0.824052,0.012354383,0.015381009289562169,0.019857958148383006,0.0
channel_73,0.9376411,0.93753004,-0.007529634,0.9375601,-0.0054926313,0.015317144823547237,0.019836398224476855,0.0
channel_74,0.9837992,0.9836795,-0.007819262,0.9836389,-0.010469794,0.015430470280263094,0.019854153455928978,0.0
channel_75,0.90952533,0.90949285,-0.00237461,0.90956295,0.002749319,0.015300295475066701,0.019853519340519973,0.0
channel_76,0.9688548,0.96868974,-0.011602586,0.968805,-0.0034987936,0.015432644389744454,0.019564996829422955,0.0
